"id","icon","channel","origin","audience","distinct","recognized","confusable","encounter","era","made_by","story_lead","symbol_status","notes","added"
"ic001","Lei","visual","native_hawaiian","both","pass","both","Polynesian garlands generally (Tahiti, Samoa)","placed over the head on arrival; graduations; Lei Day (May 1)","1920s-30s (Matson Boat Days; Lei Day 1928)","Matson and the Hawaii Tourist Bureau for arriving visitors; Don Blanding for Lei Day; the practice itself is Native Hawaiian","The garland is ancient; the arrival ritual was a shipping-line invention","none","","2026-09-13"
"ic002","Aloha shirt","visual","plantation_immigrant","both","pass","both","generic tropical-print shirt","worn by residents on Aloha Friday and by visitors everywhere","1930s (trademarked 1936); Aloha Friday 1960s","Honolulu tailors and merchants (Ellery Chun and others) for tourists and residents; Hollywood and Aloha Friday later","A Japanese kimono fabric, a Chinese-American merchant, and a name that became a category","none","Origin is arguable: plantation_immigrant (the makers) vs territorial_tourist (the market). Kept as makers.","2026-09-13"
"ic003","Mai tai","gustatory","territorial_tourist","outsider","borderline","outsider","tiki bar; Polynesian-pop generally","ordered at a Waikiki hotel bar, classically the Royal Hawaiian","1953 (Royal Hawaiian / Matson adoption)","Trader Vic (Victor Bergeron), Oakland 1944, for a California bar; adopted by Hawaii's hotels for tourists","The most-ordered Hawaiian drink is a California import Hawaii adopted","none","Borderline because most of the world resolves it to 'tiki bar' before 'Hawaii'; kept for the origin story.","2026-09-13"
"ic004","Pineapple","visual","territorial_tourist","outsider","borderline","outsider","tropics generally; hospitality symbol","Dole Plantation (Wahiawa); Maui Gold; the pineapple on everything else","1920s-30s (Dole canned 'Hawaiian pineapple'; O'Keeffe 1939)","James Dole and the pineapple industry, for the mainland grocery market","The icon outlived the industry: Del Monte left 2008, ML&P stopped 2009, the Dole Plantation remains as a theme park","none","Borderline: worldwide the pineapple resolves to 'tropics' first. Kept for the industry story.","2026-09-13"
"ic005","Hawaiian pizza","lexical","external","outsider","fail","outsider","pizza with pineapple; nothing resolves to the place but the name","not encountered in Hawaii as such; a mainland/Canadian menu item","1962 (Chatham, Ontario)","Sam Panopoulos, for an Ontario restaurant, named after the canned-pineapple brand","A Greek-Canadian, a can, and a name: the pizza defines the class of things named for Hawaii and made elsewhere","none","Recorded as a FAIL on purpose: it defines a boundary class (siblings: Hawaiian Punch, Hawaiian Tropic). Origin 'external' is PROVISIONAL pending Kim's ruling.","2026-09-13"
"ic006","Muumuu","lexical","missionary_monarchy","both","pass","both","housedress (plain fabric); passes visually only in Hawaiian print","worn by residents at church and events; Shaheen-era prints in shops","1950s-60s tourism (garment itself 1820s)","Missionaries for Hawaiian women (holoku undergarment); Alfred Shaheen and 1950s designers for tourists","A missionary undergarment that became the tourist dress, and a Hawaiian word the world kept","none","Channel coded lexical (clean borrowing); visual is borderline. Origin 'missionary_monarchy' is PROVISIONAL pending Kim's ruling; the era will recur (Kamehameha statue, Iolani Palace, the flag).","2026-09-13"
"ic007","Surfboard","visual","native_hawaiian","both","borderline","both","California / Australian surf culture; passes only in composition (longboard + Diamond Head, the Duke statue)","Waikiki beachboys; the Duke Kahanamoku statue; North Shore in winter","1912-1930s (Duke Kahanamoku; Waikiki beachboys); rebranded by California from 1959","Native Hawaiians (he‘e nalu); Duke Kahanamoku and the beachboys for visitors; California later for the world","Hawaii invented it and lost the naming rights","none","Surfing itself (kinetic) is a separate row later. Borderline only because of the California confusable.","2026-09-13"
"ic008","Ukulele","auditory","plantation_immigrant","both","pass","both","small guitar; nothing else once heard","heard everywhere; Kamaka factory (Honolulu, 1916); every hotel lobby","1879 (Ravenscrag); 1915 Panama-Pacific Exposition","Madeiran plantation immigrants; adopted under Kalakaua; sold to the mainland at the 1915 Exposition","The most Hawaiian sound in the world is Portuguese","none","Passes on all three channels (auditory, visual, lexical); coded by the strongest.","2026-09-13"
"ic009","Tiki","visual","external","outsider","borderline","outsider","Polynesian pop / tiki bar generally; the word is Maori-Marquesan, not Hawaiian (ki‘i)","tiki bars and torches in Waikiki; the International Market Place; contrast with the real ki‘i at Pu‘uhonua o Honaunau","1933-34 (Don the Beachcomber, Trader Vic's); Waikiki adoption 1950s-60s","Hollywood and Oakland restaurateurs for mainland diners; Waikiki hotels sold it back to visitors as Hawaiian","A word that is not Hawaiian, an object made in Hollywood, sold in Waikiki as the real thing","none","The appropriation case. The real ki‘i (Native Hawaiian) get their own row so the two are never conflated. 'external' broadened: made elsewhere AND attributed to Hawaii.","2026-09-13"
"ic010","Grass skirt","visual","external","outsider","borderline","outsider","South Seas / Polynesian generic; residents read it as a costume error (hula wears pa‘u, ti leaf, never grass)","luau shows and souvenir shops; not in a halau","1890s-1910s (vaudeville hula girl); Hollywood 1930s","Gilbertese laborers brought the garment (1870s-80s); mainland vaudeville and Hollywood put it on the hula girl for mainland audiences","Hula was never danced in grass: the skirt is Gilbertese and the girl is vaudeville","none","Kept for the appropriation story, like tiki. Pairs with hula (ic011) as the outsider costume vs the real thing.","2026-09-13"
